NUCLEAR OPTION ; Version 0.30.2 ; Data exported on 19/04/2025 8:58:53 AM
Type ; UnitName ; Code ; Description ; Length ; Width ; Height ; equivalentSize ; Jet Thrust ; Turbine Power ; Turbine minRPM ; Turbine maxRPM ; IRMin ; IRMax ; visibleRange ; visualRange ; visualMagnification ; radarSize ; radarRange ; radarMinSignal; radarMaxSignal; radarClutterFactor; radarDopplerFactor ; radarJammerIntensity ; flareCapacity ; captureCapacity; captureStrength ; Value ; Manpower ; ArmorTier; Damage Tolerance ; roleSurface ; roleAir ; roleMissile ; roleRadar ; antiSurface ; antiAir ; antiMissile ; antiRadar
VehicleDefinition;AFV8 APC;APC;The AFV8 Armored Personnel Carrier is a fast troop transport with a roof mounted machine gun to counter low-flying aerial threats and soft ground targets;8.2;3.1;2.8;9.202717;0;0;0;0;0;0;5500;3000;1;1;0;0;0;0;0;0;0;8;12;5.2;12;3;1;1;0;0;0;0.399;0.15;0;0
VehicleDefinition;AFV8 IFV;IFV;This upfit for the AFV8 chassis features a 25mm cannon and anti-armor missile launcher, turning it into a fast infantry fighting vehicle.;8.2;3.1;3.4;9.402659;0;0;0;0;0;0;5500;5000;1;1;0;0;0;0;0;0;0;6;9;6.1;9;3;1;1;0;0;0;0.587;0.428;0;0
VehicleDefinition;Linebreaker APC;APC;An armored personnel carrier upfit for the Linebreaker chassis, this troop transport is well protected with good off-road mobility;7.9;3.9;2.7;9.214663;0;0;0;0;0;0;5500;4000;1;1;0;0;0;0;0;0;0;8;12;7.2;12;4;1.5;1;0;0;0;0.362;0.377;0;0
VehicleDefinition;Linebreaker SAM;SAM IR;This armored air defense vehicle combines off-road mobility with 12 short-range IR missiles capable of engaging low-flying aircraft;7.9;3.9;4.1;9.71751;0;0;0;0;0;0;5500;7000;4;1;0;0;0;0;0;0;0;4;3;7.2;3;4;1.5;1;0;0;0;0;0.761;0.744;0
VehicleDefinition;Linebreaker IFV;IFV;Sporting a powerful autocannon and anti-armor missiles, the Linebreaker Infantry Fighting Vehicle is a versatile unit capable of engaging both air and ground threats;7.9;3.9;3.3;9.407975;0;0;0;0;0;0;5500;5000;1;1;0;0;0;0;0;0;0;8;9;7.2;9;4;1.5;1;0;0;0;0.536;0.464;0;0
VehicleDefinition;AFV8 Mobile Air Defense;SAM IR;Featuring 8 IR missile launchers, this air defense system is capable of intercepting missiles and aircraft at a range of up to 5km;8.2;3.1;4;9.63587;0;0;0;0;0;0;5500;6000;4;1;0;0;0;0;0;0;0;4;3;7.5;3;3;1;1;0;0;0;0;0.68;0.651;0
VehicleDefinition;AeroSentry SPAAG;SPAAG;This self-propelled anti-aircraft gun sports twin 30mm autocannons firing proximity-fused shells, capable of accurately striking fast-moving targets at ranges of over 4000m;8.4;3.6;3.4;9.750897;0;0;0;0;0;0;6000;5000;3;1;0;0;0;0;0;0;0;2;2;8;2;4;5;1;0;0;0;0.1;0.717;0.527;0
VehicleDefinition;FGA-57 Anvil;SPAAG;Firing 57mm proximity fused explosive shells, the Anvil is capable of dealing devastating volleys against both air and land targets;7.9;3.9;3.4;9.443517;0;0;0;0;0;0;6000;4500;3;1;0;0;0;0;0;0;0;3;3;9;3;4;5;1;0;0;0;0.1;0.667;0.527;0
VehicleDefinition;Type-12 MBT;MBT;While the Type 12 may be a legacy design, it still remains a formidable presence on the battlefield. It offers better protection per unit weight than its contemporaries, owing to its novel monocoque composite hull & turret that give the Type-12 its signature shape. Its armament consists of a 130mm cannon firing hypervelocity SABOT rounds and a turreted 12.7mm machine gun.;8.2;4.2;2.8;9.629122;0;0;0;0;0;0;6000;5000;1;1;0;0;0;0;0;0;0;2;3;11.2;3;6;3;1;0;0;0;0.7;0.2;0;0
VehicleDefinition;StratoLance R9 Launcher;SAM R;long range air defense trailer capable of engaging aerial targets detected by nearby radar trucks;10.5;2.8;7.9;13.43503;0;0;0;0;0;0;6000;0;0;1;0;0;0;0;0;0;0;0;0;12.5;0;1;0;1;0;0;0;0;1;1;0
VehicleDefinition;T9K41 Boltstrike;SAM R;This formidable anti-air unit incorporates a radar capable of tracking multiple aerial targets at a range of up to 15km, and carries 16 vertical-launch missiles which can be fired in rapid succession;8.6;3.8;5.2;10.7443;0;0;0;0;0;0;6000;5000;1;1;17000;0.5;4;1;0.1;0;0;2;2;12.5;2;4;1.5;1;0;0;1;0;1;1;0
VehicleDefinition;Spearhead MBT;MBT;With a liberal application of armour and weapon modules, the latest iterations of the Spearhead are as protected as they are powerful. The combination of 130mm main gun and ATGM launcher allow it to hold its own against larger numbers of enemy armoured units, while the roof mounted 20kw pulse laser can protect the relatively thinner top armour against missiles. Its ever-growing list of capabilities has come with a diminished top speed and a total weight far exceeding its original design specifications.;8.5;4.2;3.2;10.0065;0;0;0;0;0;0;6500;5000;1;1;0;0;0;0;0;0;0;2;3;15.3;3;6;3;1;0;0;0;0.7;0.2;0.1;0
VehicleDefinition;HLT Radar Truck;RDR;Capable of tracking multiple aerial units at ranges of up to 40km;10.1;2.7;5.9;12.00458;0;0;0;0;0;0;6000;3000;0;1;50000;0.5;4;1;0.1;0;0;3;2;20;2;1;0.5;1;0;0;1;0;1;0;0
MissileDefinition;IRM-S1;MSL;Carried by air defense vehicles and light aircraft, this heat-seeking missile is effective against air targets at a range up to 5km;1.5;0.1;0.1;1.506652;0;0;0;0;0;0;1500;0;0;0.01;0;0;0;0;0;0;0;0;0;0.04;0;0.1;0;0;0;1;0;0;0.667;0.721;0
MissileDefinition;MMR-S3[IR];MSL;Medium-range heat seeking missile ideal for attacking fast and maneuverable aircraft;3;0.3;0.3;3.029851;0;0;0;0;0;0;2000;0;0;0.01;0;0;0;0;0;0;0;0;0;0.36;0;1;0;0;0;1;0;0;1;0;0
MissileDefinition;AAM-29 Scythe [R];MSL;Using a combination of inertial guidance and terminal radar homing, the Scythe can engage aerial targets at beyond visual range;3.5;0.4;0.4;3.545419;0;0;0;0;0;0;2000;0;0;0.01;0;0;0;0;0;0;0;0;0;0.89;0;1;0;0;0;1;0;0;1;0;0
MissileDefinition;AGM-48 ;MSL;Effective against ground targets or slow-flying aircraft at ranges of up to 8km, the AGM-48 can maneuver erratically to make interception difficult.;1.6;0.2;0.2;1.624808;0;0;0;0;0;0;2000;0;0;0.02;0;0;0;0;0;0;0;0;0;0.09;0;0.1;0;0;0;1;0;0.72;0;0;0
MissileDefinition;Ground-to-ground missile;MSL;Ground-launched anti-armor missile;1.3;0.1;0.1;1.30767;0;0;0;0;0;0;2000;0;0;0.02;0;0;0;0;0;0;0;0;0;0.08;0;0.1;0;0;0;1;0;0.551;0;0;0
MissileDefinition;AGM-68;MSL;The AGM-68 is a large, optically guided missile capable of destroying structures and heavily armored vehicles. It follows an unpredictable trajectory to avoid interception.;2.5;0.5;0.5;2.598076;0;0;0;0;0;0;2500;0;0;0.05;0;0;0;0;0;0;0;0;0;0.12;0;0.1;0;0;0;1;0;1;0;0;0
MissileDefinition;PAB-250;BOMB;Optically guided 250kg bomb capable of destroying heavily armored vehicles and small buildings.;2.25;0.3;0.3;2.289651;0;0;0;0;0;0;2500;0;0;0.1;0;0;0;0;0;0;0;0;0;0.015;0;1;1;0;0;1;0;1;0;0;0
MissileDefinition;GPO-500;BOMB;Optically guided 500kg bomb, ideal for attacking convoys and large buildings.;2.7;0.4;0.4;2.758623;0;0;0;0;0;0;3000;0;0;0.15;0;0;0;0;0;0;0;0;0;0.02;0;1;1;0;0;1;0;1;0;0;0
MissileDefinition;GPO-2P Auger;BOMB;The Auger is a bunker busting gravity bomb with a precision guidance kit. It is capable of penetrating hardened structures before its large warhead detonates.;4.6;0.5;0.5;4.65403;0;0;0;0;0;0;3500;0;0;0.2;0;0;0;0;0;0;0;0;0;0.15;0;1;1;0;0;1;0;1;0;0;0
MissileDefinition;PAB-80LR;BOMB;This glide bomb deploys folding wings, giving it an extended range from altitude. Guided by an optical seeker during the terminal phase, the PAB-80LR features a small radar cross-section and no IR signature.;2;0.3;0.3;2.044505;0;0;0;0;0;0;700;0;0;0.01;0;0;0;0;0;0;0;0;0;0.06;0;1;1;0;0;1;0;1;0;0;0
MissileDefinition;ALM-C450;MSL;Flying at subsonic speeds along a terrain-hugging flight path, this cruise missile is difficult to detect and can overwhelm defenses in large numbers.;4.4;3.2;0.6;5.473573;0;0;0;0;0;0;4000;0;0;0.005;0;0;0;0;0;0;0;0;0;1.5;0;0.1;0;0;0.14;1;0;1;0;0;0
MissileDefinition;ALND-4 (20kt);MSL;The ALND-4 (Air Launched Nuclear Deterrent) is a long range subsonic cruise missile carrying a tactical nuclear warhead.;6.27;2.74;0.96;6.909566;0;0;0;0;0;0;4500;0;0;0.05;0;0;0;0;0;0;0;0;0;32;0;0.1;0;0;0.163;1;0;1;0;0;0
MissileDefinition;Demolition Bomb;BOMB;Heavy thermobaric guided bomb capable of devastating soft targets over a wide area. Best used against buildings or lightly defended groups of vehicles.;8.2;1;1;8.321057;0;0;0;0;0;0;5000;0;0;1;0;0;0;0;0;0;0;0;0;0.15;0;1;1;0;0;1;0;1;0;0;0
MissileDefinition;RAM-45;MSL;Vertically launched missile effective against aerial radar returns at a range up to 15km;2.9;0.3;0.3;2.93087;0;0;0;0;0;0;4000;0;0;0.1;0;0;0;0;0;0;0;0;0;0.2;0;0.1;0;0;0;1;0.5;0;0.87;0;0
MissileDefinition;StratoLance R9;MSL;Long range ground launched semi-active radar homing missile;5;0.3;0.3;5.017968;0;0;0;0;0;0;4000;0;0;0.1;0;0;0;0;0;0;0;0;0;4;0;0.1;0;0;0;1;0.5;0;1;0;0
MissileDefinition;AGR-18 Lynchpin;MSL;Short range 70mm rocket with a laser guidance package providing limited maneuverability. Launching aircraft must aim at the target and keep it selected to provide guidance.;1.6;0.2;0.2;1.624808;0;0;0;0;0;0;2000;0;0;0.01;0;0;0;0;0;0;0;0;0;0.04;0;0.1;0;0;0;1;0;0.667;0;0;0
MissileDefinition;GPO-N [1.5kt];BOMB;Guided thermonuclear bomb, set to tactical yield. Detonates after a minimum time delay of 8 seconds, and when below 150m (500ft) altitude. For laydown delivery, it will deploy a parachute to allow the bomb to survive impact with the ground when dropped below 300m(1000ft).;2.7;0.5;0.5;2.791057;0;0;0;0;0;0;4000;0;0;0.2;0;0;0;0;0;0;0;0;0;28;0;1;0;0;0;1;0;1;0;0;0
MissileDefinition;GPO-N [250kt];BOMB;Guided thermonuclear bomb, set to strategic yield. Detonates after a minimum time delay of 16 seconds, when below 500m (1650ft) altitude. Unless being lofted, level bombing should be carried out at a minimum of 1300m(4300ft).;2.7;0.5;0.5;2.791057;0;0;0;0;0;0;4000;0;0;0.2;0;0;0;0;0;0;0;0;0;28;0;1;0;0;0;1;0;1;0;0;0
MissileDefinition;ARAD-116;MSL;This anti-radiation missile will lock on to radar emissions after launch, making it ideal for attacking SAM sites at beyond visual range.;4.4;0.3;0.3;4.420407;0;0;0;0;0;0;3000;0;0;0.01;0;0;0;0;0;0;0;0;0;0.68;0;0.1;0;0;0;1;0;0;0;0;1
MissileDefinition;76mm Guided Shell;SHL;A 3kg HE warhead housed in a fin-stabilised airframe. Uses canard control for terminal guidance that is provided by an electro-optical seeker head.;0.4;0.1;0.1;0.4242641;0;0;0;0;0;0;1500;0;0;0.01;0;0;0;0;0;0;0;0;0;0.015;0;0.1;0;0;0;1;0;0.667;0;0;0
MissileDefinition;AShM-300;MSL;This anti-ship cruise missile can be launched vertically by the Dynamo class Destroyer, using sea-skimming technique and supersonic speeds to penetrate the enemy's air defense systems.;4.4;3.2;0.6;5.473573;0;0;0;0;0;0;4000;0;0;0.01;0;0;0;0;0;0;0;0;0;2;0;0.1;0;0;0.14;1;0;1;0;0;0
MissileDefinition;PAB-125;BOMB;A small optically guided 125kg bomb, ideal for destroying vehicles and small buildings in low level attacks.;1.75;0.25;0.25;1.785357;0;0;0;0;0;0;2000;0;0;0.05;0;0;0;0;0;0;0;0;0;0.01;0;1;1;0;0;1;0;1;0;0;0
MissileDefinition;AGM-99;MSL;This air launched anti-ship missile has a very low altitude cruise profile with a pop-up terminal attack mode designed to penetrate ship defenses.;3.9;0.4;0.4;3.940812;0;0;0;0;0;0;2500;0;0;0.02;0;0;0;0;0;0;0;0;0;0.78;0;0.1;0;0;0.14;1;0;1;0;0;0
MissileDefinition;AIR-2 Genie;MSL;Unguided air-to-air rocket with a 1.5kt nuclear warhead and a 12-second time delay fuse. Why is this still in the inventory?;2.5;0.5;0.5;2.598076;0;0;0;0;0;0;6000;0;0;0.25;0;0;0;0;0;0;0;0;0;15;0;0.1;0;0;0;1;0;1;0;0;0
MissileDefinition;IRM-S2[IR];MSL;Short-range heat seeking missile ideal for attacking fast and maneuverable aircraft;2.5;0.24;0.24;2.522935;0;0;0;0;0;0;2000;0;0;0.01;0;0;0;0;0;0;0;0;0;0.18;0;1;0;0;0;1;0;0;1;0.1;0
MissileDefinition;AAM-36 Scimitar [R];MSL;A missile using a ramjet for beyond visual range (BVR) engagement.;3.7;0.5;0.5;3.766962;0;0;0;0;0;0;2000;0;0;0.01;0;0;0;0;0;0;0;0;0;2.1;0;1;0;0;0;1;0;0;1;0;0
MissileDefinition;AShM-200;MSL;;3.9;0.6;0.6;3.991241;0;0;0;0;0;0;2500;0;0;0.07;0;0;0;0;0;0;0;0;0;0.55;0;0.1;0;0;0;1;0;1;0;0;0
MissileDefinition;Piledriver TBM;MSL;;3.9;0.6;0.6;3.991241;0;0;0;0;0;0;2500;0;0;0.02;0;0;0;0;0;0;0;0;0;0.55;0;0.1;0;0;0;1;0;1;0;0;0
BuildingDefinition;Pillbox;BNKR;Designed to supplement and eventually replace human sentries, the pillbox represents part of a networked perimeter monitoring system. The hardened structure houses a pair of autonomous 12.7mm machine gun turrets.;10;10;4;14.69694;0;0;0;0;0;0;4000;3500;1;1;0;0;0;0;0;0;0;10;2;0.25;0;5;5;1;0;0;0;0.275;0.254;0;0
BuildingDefinition;Hardened Aircraft Shelter;HGR-H;Reinforced hangar for storing small aircraft, resistant to bombs and missiles;34.2;33.2;7.9;48.31449;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;6;4;8;0;1;0;0;0;0;0;0;0
BuildingDefinition;Medium Aircraft Hangar;HGR-M;Hangar for storing medium-sized aircraft;45.1;79.9;14;92.81174;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;5;10;6;2;1;0;0;0;0;0;0;0
BuildingDefinition;Helipad;HPAD;Takeoff point for VTOL aircraft;40;40;3;56.64804;0;0;0;0;0;0;6000;0;0;1;0;0;0;0;0;0;0;0;0;5;6;3;4;1;0;0;0;0;0;0;0
BuildingDefinition;Refinery Structure;BLD;Synthetic fuel production unit capable of converting a large variety of organic feedstocks into fertilizer and combustible fuels.;150;354;120;402.7605;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;2500;20;1;4;1;0;0;0;0;0;0;0
BuildingDefinition;Radar Station;RDR;Long-range sky scanning radar;20;25.8;36.6;49.04284;0;0;0;0;0;0;10000;0;0;1;50000;0.5;4;1;0.15;0;0;10;0;25;12;1;2;1;0;0;1;0;0;0;0
BuildingDefinition;Control Tower;TWR;Airbase traffic control tower;20.9;39.7;46.2;64.39985;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;60;12;1;2;1;0;0;0;0;0;0;0
BuildingDefinition;Large Factory;FAC;A vehicle manufacturing facility, housing a production line and its associated machinery. Factory buildings supply a specific type of vehicle to a faction's inventory.;137;257;60.9;297.5345;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;60;100;1;8;1;0;0;0;0;0;0;0
BuildingDefinition;Vertical Factory;FAC;A low-footprint vehicle manufacturing facility, housing an entirely automated production chain. Lighting, heating, and floorspace requirements are only considered for the handful of quality assurance workers overseeing the facility. Factory buildings supply a specific type of vehicle to a faction's inventory.;55.3;111;74.6;144.7213;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;60;10;1;6;1;0;0;0;0;0;0;0
BuildingDefinition;Storage Tank;BLD;Refrigerated, in-ground bulk liquid gas storage. Thick concrete for insulation makes it difficult to damage with weapons fire.;141;141;37.5;202.8996;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;30;0;4;1;1;0;0;0;0;0;0;0
BuildingDefinition;Aircraft Revetment;REV;Protected parking area for aircraft, shielded from shrapnel;34.2;33.2;7.9;48.31449;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;0.1;4;3;4;1;0;0;0;0;0;0;0
BuildingDefinition;Vehicle Depot;BLD;Vehicle deployment facility;67;67;12.5;95.57327;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;12;24;1;4;1;0;0;0;0;0;0;0
BuildingDefinition;Enrichment Plant;BLD;Supplies fissile material for nuclear weapons. Having an enrichment plant ensures a steady supply of nuclear warheads.;197;240;55;315.3316;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;10;0;4000;100;1;8;1;0;0;0;0;0;0;0
BuildingDefinition;Small Platform;BLD;structural element;50;50;50;86.60254;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
BuildingDefinition;Large Platform;BLD;structural element;200;200;50;287.2281;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
BuildingDefinition;Sloped Platform;BLD;structural element;50;50;50;86.60254;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
BuildingDefinition;Flat Platform;BLD;structural element;50;50;1;70.71775;0;0;0;0;0;0;10000;0;0;1;0;0;0;0;0;0;0;0;0;0.1;0;1;0;1;0;0;0;0;0;0;0
ShipDefinition;Shard Class Corvette;SHP;This compact warship is well equipped for defending coastal areas, armed with a 57mm cannon, 20mm point defense system, and battery of vertically launched RAM-45 missiles. A small landing pad at the stern allows it to serve as a mobile re-arming and refueling point for helicopters.;76.2;10.5;13.8;78.14812;0;0;0;0;0;0;15000;9000;3;1;25000;0.5;4;3;0.1;0;0;10;25;190;45;4;8;1;0;0;0.645;0.9;0.9;0.9;0
ShipDefinition;Hyperion Class Carrier;SHP;The Hyperion class features a short take-off ramp and arrestor gear on its landing runway, and can accommodate a variety of aircraft types. Defended by two MMR-S3 batteries, one RAM-45 launcher, and two 30mm CIWS turrets, this fleet carrier is capable of countering most aerial threats.;267;64;48;278.7275;0;0;0;0;0;0;50000;15000;3;1;50000;0.5;4;3;0.1;0;0;10;100;3500;2000;5;40;1;0;0;0.645;0.95;0.95;0.95;0
ShipDefinition;Dynamo Class Destroyer;SHP;This guided missile destroyer is armed with a battery of vertically launched cruise missiles and a 155mm railgun in its forward turret. Its powerful defensive armament of two MMR-S3 batteries, three R9 vertical launchers and four 30mm CIWS turrets, makes the Dynamo class a powerful warship, able to defend a fleet from any threat.;162;22;32;166.5893;0;0;0;0;0;0;30000;15000;3;1;60000;0.5;4;3;0.1;0;0;10;100;1350;180;5;30;1;0;0;0.645;0.95;0.95;0.9;0
ShipDefinition;Annex Class Carrier;SHP;An amphibious assault ship which can support rotary wing and V/STOL aircraft operations. It has a well deck from which it can launch landing craft, and it can perform shore bombardment with its 76mm cannon and dual-purpose 40mm point defence guns.;242;40;50;250.3278;0;0;0;0;0;0;50000;0;0;1;50000;0.5;4;3;0.1;0;0;100;50;3500;2000;5;40;1;0;0;0.645;0.95;0.95;0.95;0
